Logo,"ID Name club","Nom Club","Nom comlet","Code pays"
,hamacfc_sco,Hamilton,"Hamilton Academical FC",sco
,heartfc_sco,Hearts,"Heart of Midlothian FC",sco
,hibefc_sco,Hibernian,"Hibernian FC",sco
,invctfc_sco,Inverness,"Inverness Caledonian Thistle FC",sco
,kilmfc_sco,Kilmarnock,"Kilmarnock FC",sco
,motwfc_sco,Motherwell,"Motherwell FC",sco
,ptfc_sco,"Partick Thistle","Partick Thistle FC",sco
,rangfc_sco,Rangers,"Rangers FC",sco
,rosscfc_sco,"Ross County","Ross County FC",sco
,stjonfc_sco,"St Johnstone","Saint Johnstone FC",sco
,depalsad_spa,Alavés,"Deportivo Alavés",spa
,albba_spa,Albacete,"Albacete Balompié",spa
,adalcor_spa,Alcorcón,"AD Alcorcón",spa
,alcoycd_spa,Alcoyano,"Club Deportivo Alcoyano",spa
,barfc2_spa,"Barcelona II","FC Barcelona Atlètic",spa
,rbet_spa,Betis,"Real Betis",spa
,fccart_spa,Cartagena,"FC Cartagena",spa
,cgimntar_spa,Gimnàstic,"Club Gimnàstic de Tarragona",spa
,girfc_spa,Girona,"Girona FC",spa
,guadcd_spa,Guadalajara,"Club Deportivo Guadalajara",spa
,hercf_spa,Hercules,"Hercules CF",spa
,sdhue_spa,Huesca,"SD Huesca",spa
,udlpalm_spa,"Las Palmas","UD Las Palmas",spa
,cdlugo_spa,Lugo,"Club Deportivo Lugo",spa
,malrcd_spa,Mallorca,"RCD Mallorca",spa
,cdmira_spa,Mirandes,"Club Deportivo Mirandés",spa
,rmurcf_spa,Murcia,"Real Murcia Club de Fútbol",spa
,numscd_spa,Numancia,"CD Numancia de Soria",spa
,osaca_spa,Osasuna,"CA Osasuna",spa
,sdponf_spa,Ponferradina,"SD Ponferradina",spa
,racrc_spa,Racing,"Real Racing Club",spa
,rjcf_spa,"Real Jaén","Real Jaén CF",spa
,reama2_spa,"Real Madrid II","Real Madrid II",spa
,rechu_spa,Recreativo,"Recreativo de Huelva",spa
,cesabadfc_spa,Sabadell,"CE Sabadell Futbol Club",spa
,udsalam_spa,Salamanca,"UD Salamanca",spa
,spogijo_spa,"Sporting Gijón","Real Sporting de Gijón",spa
,tencd_spa,Tenerife,"CD Tenerife",spa
,rvallcf_spa,Valladolid,"Real Valladolid Club de Fútbol",spa
,vilfc2_spa,"Villarreal II","Villarreal CF II",spa
,xercd_spa,Xerez,"Xerez CD",spa
,zara_spa,Zaragoza,"Real Zaragoza",spa
,cdlegsad_spa,Leganés,"Club Deportivo Leganés SAD",spa
,uellagost_spa,Llagostera,"Unió Esportiva Llagostera",spa
,athbc2_spa,"Athletic Bilbao II","Athletic Bilbao Club II",spa
,ro_spa,"Real Oviedo","Real Oviedo",spa
,cadcf_spa,Cádiz,"Cádiz Club de Fútbol",spa
,ucamcf_spa,"UCAM Murcia","UCAM Murcia CF",spa
,redecf_spa,"Reus Deportiu","Club de Futbol Reus Deportiu",spa
,partbfc_srb,Partizan,"FK Partizan",srb
,slobsk_svk,Slovan,"ŠK Slovan Bratislava",svk
,aik_swe,AIK,"AIK Solna",swe
,brom_swe,Brommapojkarna,Brommapojkarna,swe
,djif_swe,Djurgården,"Djurgårdens IF FF",swe
,ife_swe,Elfsborg,"IF Elfsborg",swe
,gais_swe,GAIS,"GAIS Göteborg",swe
,gif_swe,Gefle,"Gefle IF",swe
,ifkg_swe,Göteborg,"IFK Göteborg",swe
,hbk_swe,Halmstad,"Halmstads BK",swe
,hif_swe,Helsingborg,"Helsingborgs IF",swe
,bkh_swe,Häcken,"BK Häcken",swe
,kff_swe,Kalmar,"Kalmar FF",swe
,mff_swe,Malmö,"Malmö FF",swe
,maif_swe,Mjällby,"Mjällby AIF",swe
,ifknork_swe,Norrköping,"IFK Norrköping",swe
,sundgif_swe,"Sundsvall ","GIF Sundsvall ",swe
,syrfc_swe,Syrianska,"Syrianska FC",swe
,tff_swe,Trelleborg,"Trelleborgs FF",swe
,aff_swe,Åtvidaberg,"Åtvidabergs FF",swe
,atviff_swe,Åtvidabergs,"Åtvidabergs FF",swe
,basfc_swi,"FC Basel","FC Basel",swi
,zurfc_swi,"FC Zürich","FC Zürich",swi
,gcz_swi,Grasshopper,"Grasshopper Club Zürich",swi
,luasp_swi,Lausanne,"FC Lausanne-Sport",swi
,stgalfc1879_swi,"St. Gallen","FC St. Gallen 1879",swi
,thunfc1898_swi,Thun,"FC Thun 1898",swi
,ybbsc_swi,"Young Boys","BSC Young Boys",swi
,akhbelgvs_turk,"Akhisar Belediyespor","Akhisar Belediyespor GS",turk
,ankmke_turk,Ankaragücü,"MKE Ankaragücü",turk
,anksas_turk,Ankaraspor,"Ankaraspor AŞ",turk
,antsp_turk,Antalyaspor,Antalyaspor,turk
,besjk_turk,Beşiktaş,"Beşiktaş JK",turk
,bucas_turk,Bucaspor,Bucaspor,turk
,burss_turk,Bursaspor,Bursaspor,turk
,denis_turk,Denizlispor,Denizlispor,turk
,diyas_turk,Diyarbakirspor,Diyarbakirspor,turk
,sbelaziku_turk,Elazığspor,Elazığspor,turk
,esks_turk,Eskisehirspor,Eskisehirspor,turk
,fenersk_turk,Fenerbahçe,"Fenerbahçe SK",turk
,galaas_turk,Galatasaray,"Galatasaray AŞ",turk
,gazis_turk,Gaziantepspor,Gaziantepspor,turk
,gencsk_turk,Gençlerbirliği,"Gençlerbirliği SK",turk
,istbbsk_turk,"Istanbul BB","Istanbul BB SK",turk
,kaka_turk,Karabükspor,"Kardemir Karabükspor",turk
,kasisk_turk,Kasimpasa,"Kasimpasa SK",turk
,kaysercspor_turk,"Kayseri Erciyesspor","Kayseri Erciyesspor",turk
,kayss_turk,Kayserispor,Kayserispor,turk
,konys_turk,Konyaspor,Konyaspor,turk
,manis_turk,Manisaspor,Manisaspor,turk
,merssk_turk,"Mersin İdmanyurdu","Mersin İdmanyurdu SK",turk
,ordspor_turk,Orduspor,Orduspor,turk
,caykrizes_turk,Rizespor,"Çaykur Rizespor",turk
,samssk_turk,Samsunspor,"Samsunspor Kulübü",turk
,sivas_turk,Sivasspor,Sivasspor,turk
,trabsas_turk,Trabzonspor,"Trabzonspor AŞ",turk
,balikesir_turk,Balikesirspor,"Balıkesirspor Kulübü",turk
,ibfk_turk,Başakşehir,"İstanbul Başakşehir FK",turk
,osmsfk_turk,Osmanlıspor,"Osmanlıspor FK",turk
,alanspor_turk,Alanyaspor,Alanyaspor,turk
,adanspor_turk,Adanaspor,"Adanaspor AŞ",turk
,brus_u23_int,Belarus,"Belarus U23",u23_int
,bra_u23_int,Brazil,"Brazil U23",u23_int
,egy_u23_int,Egypt,"Egypt U23",u23_int
,gab_u23_int,Gabon,"Gabon 23",u23_int
,gb_u23_int,"Great Britain","Great Britain U23",u23_int
,hond_u23_int,Honduras,"Honduras U23",u23_int
,jap_u23_int,Japan,"Japan U23",u23_int
,mex_u23_int,Mexico,"Mexico U23",u23_int
,mor_u23_int,Morocco,"Morocco U23",u23_int
,nz_u23_int,"New Zealand","New Zealand U23",u23_int
,sen_u23_int,Senegal,"Senegal U23",u23_int
,korr_u23_int,"South Korea","South Korea U23",u23_int
,spa_u23_int,Spain,"Spain U23",u23_int
,swi_u23_int,Switzerland,"Switzerland U23",u23_int
,uae_u23_int,UAE,"United Arab Emirates U23",u23_int
,uru_u23_int,Uruguay,"Uruguay U23",u23_int
,arskfc_ukr,"Arsenal Kyiv","FC Arsenal Kyiv",ukr
,chofc_ukr,"Chornomorets Odesa","FC Chornomorets Odesa",ukr
,dnid_ukr,Dnipro,"FC Dnipro Dnipropetrovsk",ukr
,dynk_ukr,"Dynamo Kyiv","FC Dynamo Kyiv",ukr
,fchover_ukr,Hoverla-Zakarpattia,"FC Hoverla Uzhhorod",ukr
,illmfc_ukr,Illychivets,"FC Illychivets Mariupil",ukr
,karlfc_ukr,Karpaty,"FC Karpaty Lviv",ukr
,kharfc_ukr,Kharkiv,"FC Kharkiv",ukr
,kbkrfc_ukr,Kryvbas,"FC Kryvbas Kryvyi Rih",ukr
,lvivfk_ukr,Lviv,"FC Lviv",ukr
,metkfc_ukr,Metalist,"FC Metalist Kharkiv",ukr
,metdfc_ukr,"Metalurh Donetsk","FC Metalurh Donetsk",ukr
,obokfc_ukr,Obolon,"FC Obolon Kyiv",ukr
,pfcolex_ukr,Oleksandria,"PFC Oleksandria",ukr
,fcoldon_ukr,"Olimpik Donetsk","FC Olimpik Donetsk",ukr
,sevpfc_ukr,Sevastopol,"PFC Sevastopol",ukr
,shadfc_ukr,"Shakhtar Donetsk","FC Shakhtar Donetsk",ukr
,stadnefc_ukr,"FC Stal'","FC Stal' Dniprodzerzhynsk",ukr
,tavssc_ukr,Tavriya,"SC Tavriya Simferopol",ukr
,vollsc_ukr,Volyn,"SC Volyn Lutsk",ukr
,vorpfc_ukr,Vorskla,"FC Vorskla Poltava",ukr
,zakufc_ukr,Zakarpattya,"FC Zakarpattya Uzhhorod",ukr
,metzfc_ukr,Zaporizhya,"FC Metalurh Zaporizhya",ukr
,zkfc_ukr,Zirka,"FC Zirka Kirovohrad",ukr
